UID,Country,Programs_Applied_To,Count_of_Programs,Status,Applicant
26000715,Пакистан /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Теология / Theology (in Russian); Политология / Political Science (in Russian),3,Accepted with budget,PhD
26000718,ТУРКМЕНИСТАН /,Медицина / Medicine (in Russian); Стоматология / Dental Medicine (in Russian),2,Accepted with budget,Specialist
26000719,ТУРКМЕНИСТАН /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000720,Узбекистан /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000721,Нигерия /,Стоматология (на английском языке) / Dental Medicine (in English); Медицина / Medicine (in Russian),2,Accepted with budget,Specialist
26000721,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000722,Казахстан /,Экономика / Economics (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),2,Accepted with budget,Bachelor
26000723,Израиль /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000724,Эфиопия /,Менеджмент (на английском языке) / Management (in English); Английский язык / English,2,Accepted with budget,Bachelor
26000725,Бангладеш /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000726,Беларусь /,Стоматология / Dental Medicine (in Russian); Медицина / Medicine (in Russian),2,Accepted with budget,Specialist
26000726,Беларусь /,Биология / Biology (in Russian),1,Accepted with budget,Bachelor
26000727,Пакистан /,Медицина (на английском языке) / Medicine (in English); Стоматология (на английском языке) / Dental Medicine (in English),2,Accepted with budget,Specialist
26000728,ТУРКМЕНИСТАН /,Английский язык / English,1,Accepted with budget,Bachelor
26000729,Казахстан /,Менеджмент (на английском языке) / Management (in English); Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Экономика / Economics (in Russian),3,Accepted with budget,Bachelor
26000730,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,PhD
26000731,Гана /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000732,Казахстан /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000733,Бангладеш /,Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000733,Бангладеш /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000734,Того /,Экономика / Economics (in Russian); Менеджмент (на английском языке) / Management (in English); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),3,Accepted with budget,Bachelor
26000735,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,PhD
26000736,ТУРКМЕНИСТАН /,Английский язык / English; Международные отношения / International Relations (in Russian); Математика и компьютерные науки / Mathematics and Computer Science (in Russian),3,Accepted with budget,Bachelor
26000737,Казахстан /,Юриспруденция / Law (in Russian); Нефтегазовое дело / Petroleum Engineering (in Russian); Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),3,Accepted with budget,Bachelor
26000738,Индия /,Международные отношения (на английском языке) / International Relations (in English),1,Accepted with budget,Master
26000739,Зимбабве /,Медицина (на английском языке) / Medicine (in English); Стоматология (на английском языке) / Dental Medicine (in English),2,Accepted with budget,Specialist
26000740,Пакистан /,Политология / Political Science (in Russian); Международные отношения / International Relations (in Russian); Социология / Sociology (in Russian),3,Accepted with budget,Bachelor
26000741,КОТ Д`ИВУАР /,Экономика / Economics (in Russian),1,Accepted with budget,PhD
26000742,Афганистан /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000743,Казахстан /,Международные отношения / International Relations (in Russian); Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),2,Accepted with budget,Bachelor
26000744,Перу /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000745,Нигерия /,Педагогика / Pedagogy (in Russian); Когнитивные науки / Cognitive Studies (in Russian); Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,PhD
26000746,Вьетнам /,Медицина (на английском языке) / Medicine (in English); Медицина / Medicine (in Russian); Стоматология (на английском языке) / Dental Medicine (in English),3,Accepted with budget,Specialist
26000747,"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА /",Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,PhD
26000748,Нигерия /,Менеджмент (на английском языке) / Management (in English); Психология / Psychology (in Russian),2,Accepted with budget,Bachelor
26000748,Нигерия /,Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000750,СОЕДИНЕННЫЕ ШТАТЫ /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000751,Казахстан /,Экономика / Economics (in Russian),1,Accepted with budget,Bachelor
26000752,Узбекистан /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000753,Беларусь /,Юриспруденция / Law (in Russian),1,Accepted with budget,Master
26000754,Перу /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000754,Перу /,Биология / Biology (in Russian),1,Accepted with budget,Bachelor
26000755,Бангладеш /,Медицина (на английском языке) / Medicine (in English); Стоматология (на английском языке) / Dental Medicine (in English),2,Accepted with budget,Specialist
26000755,Бангладеш /,Нефтегазовое дело / Petroleum Engineering (in Russian),1,Accepted with budget,Bachelor
26000756,КИРГИЗИЯ /,Английский язык / English; Теология / Theology (in Russian); Юриспруденция / Law (in Russian),3,Accepted with budget,Bachelor
26000757,КИТАЙ /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian),1,Accepted with budget,PhD
26000758,Нигерия /,Менеджмент (на английском языке) / Management (in English); Международные отношения (на английском языке) / International Relations (in English); Экономика (на английском языке) / Economics (in English),3,Accepted with budget,Master
26000759,Российская Федерация /,Востоковедение и африканистика / Asian and African Studies (in Russian); Юриспруденция / Law (in Russian); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000760,Казахстан /,Международные отношения / International Relations (in Russian),1,Accepted with budget,Bachelor
26000761,Казахстан /,Стоматология / Dental Medicine (in Russian); Медицина / Medicine (in Russian),2,Accepted with budget,Specialist
26000762,Казахстан /,Международные отношения / International Relations (in Russian); Юриспруденция / Law (in Russian),2,Accepted with budget,Bachelor
26000763,Казахстан /,Математика и механика / Mathematics and Mechanics (in Russian),1,Accepted with budget,Bachelor
26000764,КИТАЙ /,Педагогика / Pedagogy (in Russian),1,Accepted with budget,PhD
26000765,Эфиопия /,Международные отношения (на английском языке) / International Relations (in English); Культурология (на английском языке) / Cultural Studies (in English),2,Accepted with budget,Master
26000766,Узбекистан /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Дизайн среды / Environmental Design (in Russian),2,Accepted with budget,Bachelor
26000767,КИТАЙ /,Международные отношения / International Relations (in Russian),1,Accepted with budget,PhD
26000769,Бангладеш /,Культурология (на английском языке) / Cultural Studies (in English); Языкознание и литературоведение (на английском языке) / Foreign Languages (in English); Международные отношения (на английском языке) / International Relations (in English),3,Accepted with budget,Master
26000771,Узбекистан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Экономика / Economics (in Russian); Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,Bachelor
26000772,Бангладеш /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000774,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология (на английском языке) / Dental Medicine (in English); Стоматология / Dental Medicine (in Russian); Медицина (на английском языке) / Medicine (in English),3,Accepted with budget,Specialist
26000775,ТУРКМЕНИСТАН /,Медицина / Medicine (in Russian); Стоматология / Dental Medicine (in Russian); Медицина (на английском языке) / Medicine (in English),3,Accepted with budget,Specialist
26000777,Бангладеш /,Менеджмент (на английском языке) / Management (in English); Деловая коммуникация на английском языке / Business Communication in English; Прикладная математика и процессы управления (на английском языке) / Applied Mathematics and Control Processes (in English),3,Accepted with budget,Master
26000778,Египет /,Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian); Нефтегазовое дело / Petroleum Engineering (in Russian); Математика и механика / Mathematics and Mechanics (in Russian),3,Accepted with budget,Bachelor
26000779,Йемен /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000780,Казахстан /,Теология / Theology (in Russian); История / History (in Russian); Философия / Philosophy (in Russian),3,Accepted with budget,Master
26000781,Перу /,Политология / Political Science (in Russian); Социология / Sociology (in Russian),2,Accepted with budget,Master
26000782,Египет /,Политология / Political Science (in Russian),1,Accepted with budget,Master
26000783,Казахстан /,Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian); Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Математика и механика / Mathematics and Mechanics (in Russian),3,Accepted with budget,Bachelor
26000785,Южная Осетия /,Нефтегазовое дело / Petroleum Engineering (in Russian); Международные отношения / International Relations (in Russian),2,Accepted with budget,Bachelor
26000785,Южная Осетия /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000786,Египет /,Международные отношения / International Relations (in Russian); Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Физическая культура / Physical Education (in Russian),3,Accepted with budget,Bachelor
26000788,Узбекистан /,Психология / Psychology (in Russian),1,Accepted with budget,Master
26000789,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Языкознание и литературоведение / Linguistics and Literary Studies (in Russian),2,Accepted with budget,Master
26000790,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),1,Accepted with budget,Bachelor
26000791,Гана /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000792,Пакистан /,Химия / Chemistry (in Russian); Биология / Biology (in Russian); Языкознание и литературоведение (на итальянском языке) / Linguistics and Literary Studies (in Italian),3,Accepted with budget,Master
26000793,Южная Осетия /,История / History (in Russian),1,Accepted with budget,Bachelor
26000794,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000795,Казахстан /,Юриспруденция / Law (in Russian); Международные отношения / International Relations (in Russian); Экономика / Economics (in Russian),3,Accepted with budget,Bachelor
26000796,Камерун /,Биология / Biology (in Russian); Науки о Земле и окружающей среде / Earth and Environmental Sciences (in Russian); Химия / Chemistry (in Russian),3,Accepted with budget,Master
26000797,Казахстан /,Юриспруденция / Law (in Russian); Международные отношения / International Relations (in Russian); Политология / Political Science (in Russian),3,Accepted with budget,Bachelor
26000798,Алжир /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000799,Йемен /,Нефтегазовая геология / Petroleum Geology (in Russian); Науки о Земле и окружающей среде / Earth and Environmental Sciences (in Russian); Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,Master
26000800,Эстония /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000801,Пакистан /,Международные отношения (на английском языке) / International Relations (in English); Социология (на английском языке) / Sociology (in English); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),3,Accepted with budget,Master
26000802,Казахстан /,Юриспруденция / Law (in Russian),1,Accepted with budget,Bachelor
26000803,Нигерия /,Деловая коммуникация на английском языке / Business Communication in English; Языкознание и литературоведение (на английском языке) / Foreign Languages (in English); Социология (на английском языке) / Sociology (in English),3,Accepted with budget,Master
26000804,Йемен /,Прикладная математика и процессы управления (на английском языке) / Applied Mathematics and Control Processes (in English),1,Accepted with budget,Master
26000805,Казахстан /,Химия / Chemistry (in Russian); Нефтегазовое дело / Petroleum Engineering (in Russian); Физика / Physics (in Russian),3,Accepted with budget,Bachelor
26000806,Египет /,Математика и механика / Mathematics and Mechanics (in Russian); Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian); Математика и компьютерные науки / Mathematics and Computer Science (in Russian),3,Accepted with budget,Bachelor
26000807,Кения /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000808,Мозамбик /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Экономика / Economics (in Russian); Нефтегазовое дело / Petroleum Engineering (in Russian),3,Accepted with budget,Bachelor
26000809,Индия /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Деловая коммуникация на английском языке / Business Communication in English; Языкознание и литературоведение (на французском языке) / Linguistics and Literary Studies (in French),3,Accepted with budget,Master
26000810,Беларусь /,Международные отношения / International Relations (in Russian),1,Accepted with budget,Bachelor
26000811,Судан /,Менеджмент (на английском языке) / Management (in English); Культурология (на английском языке) / Cultural Studies (in English),2,Accepted with budget,Master
26000812,Афганистан /,Международные отношения (на английском языке) / International Relations (in English); Юриспруденция (на английском языке) / Law (in English); Политология / Political Science (in Russian),3,Accepted with budget,Master
26000813,Гана /,Менеджмент (на английском языке) / Management (in English); Международные отношения / International Relations (in Russian); Английский язык / English,3,Accepted with budget,Bachelor
26000814,Российская Федерация /,Живопись / Painting (in Russian),1,Accepted with budget,Specialist
26000815,Пакистан /,Психология / Psychology (in Russian); Социология / Sociology (in Russian); Культурология (на английском языке) / Cultural Studies (in English),3,Accepted with budget,Master
26000816,КИТАЙ /,Международные отношения / International Relations (in Russian); Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Международные отношения (на английском языке) / International Relations (in English),3,Accepted with budget,Master
26000817,КИТАЙ /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Международные отношения / International Relations (in Russian),2,Accepted with budget,Master
26000818,Казахстан /,Экономика / Economics (in Russian); Менеджмент (на английском языке) / Management (in English); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000819,Беларусь /,Математика и механика / Mathematics and Mechanics (in Russian); Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian),3,Accepted with budget,Bachelor
26000820,Нигерия /,Математика и механика (на английском языке) / Mathematics and Mechanics (in English); Менеджмент (на английском языке) / Management (in English),2,Accepted with budget,Master
26000821,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Международные отношения / International Relations (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),3,Accepted with budget,Bachelor
26000822,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000823,Бангладеш /,Менеджмент (на английском языке) / Management (in English); Английский язык / English; Дизайн среды / Environmental Design (in Russian),3,Accepted with budget,Bachelor
26000824,Турция /,Стоматология (на английском языке) / Dental Medicine (in English); Стоматология / Dental Medicine (in Russian); Медицина (на английском языке) / Medicine (in English),3,Accepted with budget,Specialist
26000825,Нигерия /,Биология / Biology (in Russian); Науки о Земле и окружающей среде / Earth and Environmental Sciences (in Russian); Психология / Psychology (in Russian),3,Accepted with budget,Master
26000826,Казахстан /,Экономика / Economics (in Russian); Графический дизайн / Graphic Design (in Russian); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000827,Йемен /,Медицина (на английском языке) / Medicine (in English); Медицина / Medicine (in Russian),2,Accepted with budget,Specialist
26000827,Йемен /,Нефтегазовое дело / Petroleum Engineering (in Russian),1,Accepted with budget,Bachelor
26000828,Египет /,Медицина (на английском языке) / Medicine (in English); Стоматология (на английском языке) / Dental Medicine (in English),2,Accepted with budget,Specialist
26000829,Нигерия /,Физика (на английском языке) / Physics (in English); Теология / Theology (in Russian),2,Accepted with budget,Master
26000830,Египет /,Математика и механика (на английском языке) / Mathematics and Mechanics (in English),1,Accepted with budget,Master
26000831,Узбекистан /,Юриспруденция / Law (in Russian),1,Accepted with budget,Bachelor
26000832,КИТАЙ /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),1,Accepted with budget,Master
26000833,Камерун /,Графический дизайн / Graphic Design (in Russian); Декоративно-прикладное искусство / Applied Art (in Russian),2,Accepted with budget,Bachelor
26000834,ТУРКМЕНИСТАН /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Английский язык / English,2,Accepted with budget,Bachelor
26000835,Нигерия /,Языкознание и литературоведение (на английском языке) / Foreign Languages (in English); Культурология (на английском языке) / Cultural Studies (in English); Международные отношения (на английском языке) / International Relations (in English),3,Accepted with budget,Master
26000836,Гаити /,Политология / Political Science (in Russian),1,Accepted with budget,Bachelor
26000837,Латвия /,Физика / Physics (in Russian); Математика и механика / Mathematics and Mechanics (in Russian),2,Accepted with budget,Bachelor
26000838,Пакистан /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000839,Казахстан /,Дизайн среды / Environmental Design (in Russian),1,Accepted with budget,Bachelor
26000839,Казахстан /,Живопись / Painting (in Russian); Графика / Graphics (in Russian),2,Accepted with budget,Specialist
26000840,Казахстан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000841,Алжир /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000842,Нигерия /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Графический дизайн / Graphic Design (in Russian); Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,Bachelor
26000843,Турция /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Международные отношения / International Relations (in Russian),2,Accepted with budget,Bachelor
26000844,Казахстан /,Юриспруденция / Law (in Russian),1,Accepted with budget,Bachelor
26000845,Беларусь /,Психология / Psychology (in Russian); Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),2,Accepted with budget,Bachelor
26000846,Казахстан /,Дизайн среды / Environmental Design (in Russian),1,Accepted with budget,Bachelor
26000847,Нигерия /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000848,Нигерия /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000849,Казахстан /,Стоматология / Dental Medicine (in Russian),1,Accepted with budget,Specialist
26000849,Казахстан /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000850,Таджикистан /,Юриспруденция / Law (in Russian),1,Accepted with budget,Bachelor
26000851,Гана /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000852,ТУРКМЕНИСТАН /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000853,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Искусства и гуманитарные науки / Arts and Humanities (in Russian),2,Accepted with budget,Bachelor
26000853,Казахстан /,Актерское искусство / Acting Art (in Russian),1,Accepted with budget,Specialist
26000854,КИРГИЗИЯ /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Менеджмент (на английском языке) / Management (in English),2,Accepted with budget,Master
26000855,Российская Федерация /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000856,Афганистан /,Международные отношения (на английском языке) / International Relations (in English); Социология (на английском языке) / Sociology (in English); Юриспруденция (на английском языке) / Law (in English),3,Accepted with budget,Master
26000857,Пакистан /,Социология (на английском языке) / Sociology (in English); Культурология (на английском языке) / Cultural Studies (in English),2,Accepted with budget,Master
26000858,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000859,Бангладеш /,Международные отношения (на английском языке) / International Relations (in English),1,Accepted with budget,Master
26000860,Российская Федерация /,Графический дизайн / Graphic Design (in Russian),1,Accepted with budget,Bachelor
26000860,Российская Федерация /,Живопись / Painting (in Russian); Графика / Graphics (in Russian),2,Accepted with budget,Specialist
26000861,"МОЛДОВА, РЕСПУБЛИКА /",Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000862,Латвия /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian),1,Accepted with budget,Master
26000863,Нигерия /,Международные отношения (на английском языке) / International Relations (in English); Культурология (на английском языке) / Cultural Studies (in English); Социология (на английском языке) / Sociology (in English),3,Accepted with budget,Master
26000864,Казахстан /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000865,Российская Федерация /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000866,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),2,Accepted with budget,Bachelor
26000866,Казахстан /,Стоматология / Dental Medicine (in Russian),1,Accepted with budget,Specialist
26000867,Беларусь /,Международные отношения / International Relations (in Russian); Востоковедение и африканистика / Asian and African Studies (in Russian); Юриспруденция / Law (in Russian),3,Accepted with budget,Bachelor
26000869,Египет /,Прикладная математика и процессы управления (на английском языке) / Applied Mathematics and Control Processes (in English),1,Accepted with budget,Master
26000870,Казахстан /,Юриспруденция / Law (in Russian); Графический дизайн / Graphic Design (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),3,Accepted with budget,Bachelor
26000871,КИТАЙ /,Экономика / Economics (in Russian),1,Accepted with budget,Master
26000872,Узбекистан /,Математика и механика / Mathematics and Mechanics (in Russian); Нефтегазовое дело / Petroleum Engineering (in Russian); Математика и компьютерные науки / Mathematics and Computer Science (in Russian),3,Accepted with budget,Bachelor
26000873,Пакистан /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000874,Нигерия /,Биология / Biology (in Russian); Химия / Chemistry (in Russian),2,Accepted with budget,Master
26000875,Индия /,Экономика / Economics (in Russian); Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,Bachelor
26000876,Таджикистан /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Юриспруденция / Law (in Russian); Графический дизайн / Graphic Design (in Russian),3,Accepted with budget,Bachelor
26000877,Египет /,Нефтегазовая геология / Petroleum Geology (in Russian),1,Accepted with budget,Master
26000878,ТУРКМЕНИСТАН /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000879,Алжир /,Экономика / Economics (in Russian); Науки о Земле / Earth Sciences (in Russian); Физика / Physics (in Russian),3,Accepted with budget,Bachelor
26000881,Йемен /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000882,Гана /,Экономика (на английском языке) / Economics (in English),1,Accepted with budget,Master
26000883,Узбекистан /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000884,Ботсвана /,Менеджмент (на английском языке) / Management (in English); Деловая коммуникация на английском языке / Business Communication in English,2,Accepted with budget,Master
26000885,Казахстан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000886,Камерун /,Менеджмент (на английском языке) / Management (in English); Экономика (на английском языке) / Economics (in English); Деловая коммуникация на английском языке / Business Communication in English,3,Accepted with budget,Master
26000887,Камерун /,Международные отношения / International Relations (in Russian); Политология / Political Science (in Russian); Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,Bachelor
26000888,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000889,Руанда /,Биология / Biology (in Russian),1,Accepted with budget,Master
26000890,Казахстан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Экономика / Economics (in Russian); Социология / Sociology (in Russian),3,Accepted with budget,Bachelor
26000891,ТУРКМЕНИСТАН /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000892,Казахстан /,Математика и механика / Mathematics and Mechanics (in Russian); Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian); Физика / Physics (in Russian),3,Accepted with budget,Bachelor
26000894,Бангладеш /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Экономика / Economics (in Russian); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000895,Нигерия /,Международные отношения (на английском языке) / International Relations (in English); Культурология (на английском языке) / Cultural Studies (in English),2,Accepted with budget,Master
26000896,"МОЛДОВА, РЕСПУБЛИКА /",Юриспруденция / Law (in Russian),1,Accepted with budget,Bachelor
26000897,Беларусь /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),2,Accepted with budget,Bachelor
26000898,Казахстан /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000898,Казахстан /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000899,Нигерия /,Современная математика (на английском языке) / Modern Mathematics (in English); Экономика (на английском языке) / Economics (in English); Прикладная математика и процессы управления (на английском языке) / Applied Mathematics and Control Processes (in English),3,Accepted with budget,Master
26000900,Казахстан /,Юриспруденция / Law (in Russian); Международные отношения / International Relations (in Russian); Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian),3,Accepted with budget,Bachelor
26000901,КОТ Д`ИВУАР /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,Bachelor
26000902,Нигерия /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000903,СОЕДИНЕННЫЕ ШТАТЫ /,Международные отношения / International Relations (in Russian); Теология / Theology (in Russian),2,Accepted with budget,Bachelor
26000904,Казахстан /,Экономика / Economics (in Russian),1,Accepted with budget,Bachelor
26000905,Казахстан /,Экономика / Economics (in Russian); Психология / Psychology (in Russian); Графический дизайн / Graphic Design (in Russian),3,Accepted with budget,Bachelor
26000906,Нигерия /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000907,Бенин /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Менеджмент (на английском языке) / Management (in English); Биология / Biology (in Russian),3,Accepted with budget,Bachelor
26000908,"МОЛДОВА, РЕСПУБЛИКА /",Международные отношения / International Relations (in Russian); Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Юриспруденция / Law (in Russian),3,Accepted with budget,Bachelor
26000909,Узбекистан /,Экономика / Economics (in Russian); Менеджмент (на английском языке) / Management (in English); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000910,Казахстан /,Дизайн среды / Environmental Design (in Russian),1,Accepted with budget,Bachelor
26000911,Гана /,Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000912,Гана /,Биология / Biology (in Russian),1,Accepted with budget,Master
26000913,Йемен /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000914,КИТАЙ /,Международные отношения (на английском языке) / International Relations (in English); Экономика (на английском языке) / Economics (in English),2,Accepted with budget,Master
26000915,Вьетнам /,Международные отношения / International Relations (in Russian); Политология / Political Science (in Russian); Востоковедение и африканистика / Asian and African Studies (in Russian),3,Accepted with budget,Master
26000917,Нигерия /,Физика / Physics (in Russian),1,Accepted with budget,Master
26000918,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000919,Нигерия /,Науки о Земле и окружающей среде / Earth and Environmental Sciences (in Russian); Биология / Biology (in Russian),2,Accepted with budget,Master
26000920,Пакистан /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000921,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000922,Узбекистан /,Стоматология / Dental Medicine (in Russian),1,Accepted with budget,Specialist
26000923,Египет /,Менеджмент (на английском языке) / Management (in English); Графический дизайн / Graphic Design (in Russian); Экономика (на английском языке) / Economics (in English),3,Accepted with budget,Master
26000924,Афганистан /,Юриспруденция (на английском языке) / Law (in English),1,Accepted with budget,Master
26000925,Гана /,Международные отношения (на английском языке) / International Relations (in English),1,Accepted with budget,Master
26000926,Саудовская Аравия /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
